Trace,VG,ID
VDS,0.025,0.025
0,+0.000000E+000,+1.530000E-012
1,+1.000000E-002,+1.200000E-013
2,+2.000000E-002,+4.200000E-013
3,+3.000000E-002,+2.900000E-013
4,+4.000000E-002,+2.300000E-013
5,+5.000000E-002,+1.700000E-013
6,+6.000000E-002,+4.000000E-014
7,+7.000000E-002,-5.000000E-014
8,+8.000000E-002,-6.000000E-014
9,+9.000000E-002,-1.300000E-013
10,+1.000000E-001,-2.400000E-013
11,+1.100000E-001,-3.000000E-013
12,+1.200000E-001,-3.100000E-013
13,+1.300000E-001,-4.000000E-013
14,+1.400000E-001,-4.700000E-013
15,+1.500000E-001,-5.100000E-013
16,+1.600000E-001,-6.000000E-013
17,+1.700000E-001,-6.700000E-013
18,+1.800000E-001,-7.300000E-013
19,+1.900000E-001,-7.500000E-013
20,+2.000000E-001,-8.800000E-013
21,+2.100000E-001,-9.200000E-013
22,+2.200000E-001,-9.100000E-013
23,+2.300000E-001,-9.400000E-013
24,+2.400000E-001,-1.010000E-012
25,+2.500000E-001,-7.000000E-013
26,+2.600000E-001,-1.170000E-012
27,+2.700000E-001,-9.400000E-013
28,+2.800000E-001,-1.010000E-012
29,+2.900000E-001,-8.900000E-013
30,+3.000000E-001,-1.190000E-012
31,+3.100000E-001,-2.000000E-013
32,+3.200000E-001,+4.700000E-013
33,+3.300000E-001,+1.660000E-012
34,+3.400000E-001,+3.260000E-012
35,+3.500000E-001,+5.870000E-012
36,+3.600000E-001,+9.920000E-012
37,+3.700000E-001,+1.573000E-011
38,+3.800000E-001,+2.212000E-011
39,+3.900000E-001,+3.627000E-011
40,+4.000000E-001,+5.938000E-011
41,+4.100000E-001,+1.007700E-010
42,+4.200000E-001,+1.729600E-010
43,+4.300000E-001,+2.998400E-010
44,+4.400000E-001,+5.132000E-010
45,+4.500000E-001,+8.635300E-010
46,+4.600000E-001,+1.426980E-009
47,+4.700000E-001,+2.290570E-009
48,+4.800000E-001,+3.609520E-009
49,+4.900000E-001,+5.538850E-009
50,+5.000000E-001,+8.248570E-009
51,+5.100000E-001,+1.191730E-008
52,+5.200000E-001,+1.689320E-008
53,+5.300000E-001,+2.347280E-008
54,+5.400000E-001,+3.206540E-008
55,+5.500000E-001,+4.308280E-008
56,+5.600000E-001,+5.756480E-008
57,+5.700000E-001,+7.618870E-008
58,+5.800000E-001,+9.946080E-008
59,+5.900000E-001,+1.298760E-007
60,+6.000000E-001,+1.693400E-007
61,+6.100000E-001,+2.189300E-007
62,+6.200000E-001,+2.820950E-007
63,+6.300000E-001,+3.562040E-007
64,+6.400000E-001,+4.505580E-007
65,+6.500000E-001,+5.670570E-007
66,+6.600000E-001,+7.039750E-007
67,+6.700000E-001,+8.619160E-007
68,+6.800000E-001,+1.050663E-006
69,+6.900000E-001,+1.273610E-006
70,+7.000000E-001,+1.527290E-006
71,+7.100000E-001,+1.817810E-006
72,+7.200000E-001,+2.152310E-006
73,+7.300000E-001,+2.533400E-006
74,+7.400000E-001,+2.952580E-006
75,+7.500000E-001,+3.415240E-006
76,+7.600000E-001,+3.927920E-006
77,+7.700000E-001,+4.483080E-006
78,+7.800000E-001,+5.074810E-006
79,+7.900000E-001,+5.712970E-006
80,+8.000000E-001,+6.387750E-006
81,+8.100000E-001,+7.114490E-006
82,+8.200000E-001,+7.845480E-006
83,+8.300000E-001,+8.639650E-006
84,+8.400000E-001,+9.466900E-006
85,+8.500000E-001,+1.032320E-005
86,+8.600000E-001,+1.121911E-005
87,+8.700000E-001,+1.214620E-005
88,+8.800000E-001,+1.308630E-005
89,+8.900000E-001,+1.406400E-005
90,+9.000000E-001,+1.503500E-005
91,+9.100000E-001,+1.605330E-005
92,+9.200000E-001,+1.708920E-005
93,+9.300000E-001,+1.814280E-005
94,+9.400000E-001,+1.923750E-005
95,+9.500000E-001,+2.033360E-005
96,+9.600000E-001,+2.144880E-005
97,+9.700000E-001,+2.258180E-005
98,+9.800000E-001,+2.372130E-005
99,+9.900000E-001,+2.485920E-005
100,+1.000000E+000,+2.601540E-005
101,+1.010000E+000,+2.716920E-005
102,+1.020000E+000,+2.837600E-005
103,+1.030000E+000,+2.955530E-005
104,+1.040000E+000,+3.073280E-005
105,+1.050000E+000,+3.190180E-005
106,+1.060000E+000,+3.308050E-005
107,+1.070000E+000,+3.422560E-005
108,+1.080000E+000,+3.539030E-005
109,+1.090000E+000,+3.656490E-005
110,+1.100000E+000,+3.773390E-005
111,+1.110000E+000,+3.888100E-005
112,+1.120000E+000,+3.999440E-005
113,+1.130000E+000,+4.112530E-005
114,+1.140000E+000,+4.224280E-005
115,+1.150000E+000,+4.340630E-005
116,+1.160000E+000,+4.451460E-005
117,+1.170000E+000,+4.563950E-005
118,+1.180000E+000,+4.676640E-005
119,+1.190000E+000,+4.788890E-005
120,+1.200000E+000,+4.901160E-005
121,+1.210000E+000,+5.005480E-005
122,+1.220000E+000,+5.114510E-005
123,+1.230000E+000,+5.223030E-005
124,+1.240000E+000,+5.333090E-005
125,+1.250000E+000,+5.439820E-005
126,+1.260000E+000,+5.544980E-005
127,+1.270000E+000,+5.649270E-005
128,+1.280000E+000,+5.752420E-005
129,+1.290000E+000,+5.854630E-005
130,+1.300000E+000,+5.956000E-005
131,+1.310000E+000,+6.055240E-005
132,+1.320000E+000,+6.157310E-005
133,+1.330000E+000,+6.256810E-005
134,+1.340000E+000,+6.355760E-005
135,+1.350000E+000,+6.455280E-005
136,+1.360000E+000,+6.552800E-005
137,+1.370000E+000,+6.649430E-005
138,+1.380000E+000,+6.744080E-005
139,+1.390000E+000,+6.836170E-005
140,+1.400000E+000,+6.929330E-005
141,+1.410000E+000,+7.020130E-005
142,+1.420000E+000,+7.110620E-005
143,+1.430000E+000,+7.200890E-005
144,+1.440000E+000,+7.293540E-005
145,+1.450000E+000,+7.380110E-005
146,+1.460000E+000,+7.468490E-005
147,+1.470000E+000,+7.550520E-005
148,+1.480000E+000,+7.638230E-005
149,+1.490000E+000,+7.721350E-005
150,+1.500000E+000,+7.807440E-005
